"Subject" "Activity" "avg_mean_body_acc_x" "avg_mean_body_acc_y" "avg_mean_body_acc_z" "avg_mean_body_gyro_x" "avg_mean_body_gyro_y" "avg_mean_body_gyro_z" "avg_mean_total_acc_x" "avg_mean_total_acc_y" "avg_mean_total_acc_z"
25 "LAYING" 0.000826823118610074 -0.00322886605633699 -0.00100265943253498 0.0745504145513526 -0.0182337707371152 -0.0008273141666861 1.00995066750233 -0.146624349518818 0.0393455815293839
26 "LAYING" -0.000935438200832247 0.000508476685938577 0.000221243735269957 0.00723485923007002 -0.00379349855759042 0.00241323830094358 0.769797923455635 0.127131831447525 0.224759504941007
27 "LAYING" -6.41318079439363e-05 0.000178981003137799 -0.00083928317607148 -0.034255092985117 0.00863328605843958 0.0100088644444584 0.779231123448278 0.0504363378995313 0.132366216203341
28 "LAYING" -8.9047215386822e-06 -0.00106685374442376 -0.00046354498731614 -0.0379757814443546 0.0122770178329499 0.00642087078960862 0.776837852887885 -0.130402935750867 -0.0521692605622006
29 "LAYING" 0.000316490121902421 -0.000699594572485569 -0.000121556388399891 0.0180400338053611 -0.00629785460491947 0.000809865760140826 0.819100724769713 0.132700181180323 0.198972354443822
30 "LAYING" -0.000261707473529027 -0.000234695171607086 0.000797469181736455 -0.00799093870762539 0.00116989100628972 -0.00127392305658563 0.828275386194977 0.0690261052215769 0.176431591681148
8 "SITTING" -0.00247692053468151 -0.00168295634120121 0.00106490396937404 0.0540563368541196 -0.0132772130990097 -0.0143130498638056 0.805717045069935 -0.0355767906779845 0.028110300348372
11 "SITTING" -0.000204113560180736 -0.0010433080359641 -0.000209476241732521 -0.0279061962636113 0.00727438802329231 0.000421042787014709 0.852143379285008 0.0696845243858703 0.132053753257262
14 "SITTING" -0.00152317751109599 0.000463321300919937 0.00241865493718909 0.0288040785416788 -0.00955031856323907 -0.0113575485398323 0.809491342598443 -0.0930416250003474 -0.161501059448159
15 "SITTING" 0.000131405972310928 0.000353348320204125 -0.00140591198752948 -0.000467198376262131 -0.000695049192915959 0.00191776858384814 0.823020924748952 0.120940032157655 0.0297152186176772
16 "SITTING" 6.42302020183825e-05 0.00067209276706116 0.000344781195914831 0.0159247848563063 0.000855544344510333 -0.00589456097031662 0.831464067649633 -0.0417195846050162 0.0343332894597768
17 "SITTING" -0.000811581830039062 3.91704583346992e-05 -0.000565785388523001 0.00834388157458189 -0.00205143154137311 -0.0029827143341119 0.85161890087382 0.00785376565900265 -0.0524318389840177
17 "STANDING" -0.000522988877958889 -0.000856839190057797 0.000402630115643962 0.0264584543245616 -0.00822618599730431 -0.00704427334193477 0.771794438683252 -0.00546263463220569 0.0519453570096785
19 "STANDING" -0.00161820317575693 -0.000558604530337925 -0.00329334286404856 -0.011239137722525 0.00279806047108716 0.000897645668433986 0.67024655875615 0.113780736370028 0.220168237120098
21 "STANDING" -2.25121086036879e-05 -0.000277102061166226 -0.00015553789914164 4.14779262115822e-05 -0.00186583121177665 -9.36195737349181e-05 0.792388609649588 -0.057223115083745 0.0259491842213335
22 "STANDING" -0.000578690290923082 0.000163015488931114 -0.000119826892534998 0.0202851605828421 -0.00931283173469564 -0.0022537288497717 0.766100464595376 0.0496887769606091 0.226168522613609
